Sample,Experiment,Time,H2,Std_Dev,,
H2O,<45um,0,0.074931427,0.018496399,,H2O
H2O,<45um,3,-0.009439543,0.002623504,,H2O
H2O,<45um,7,-0.016338627,0.003403651,,H2O
H2O,<45um,12,-0.017963721,0.004971669,,H2O
H2O,<45um,24,-0.021182736,0.005010006,,H2O
H2O,<45um,48,-0.028858325,0.006491973,,H2O
Granite_ctrl,<45um,0,0.984787948,0.739173838,,Granite_ctrl
Granite_ctrl,<45um,3,-0.088403694,0.209814394,,Granite_ctrl
Granite_ctrl,<45um,7,-0.03668527,0.142955142,,Granite_ctrl
Granite_ctrl,<45um,12,-0.134434776,0.223641158,,Granite_ctrl
Granite_ctrl,<45um,24,-0.178449161,0.241123621,,Granite_ctrl
Granite_ctrl,<45um,48,-0.170398361,0.243588153,,Granite_ctrl
Sandstone_ctrl,<45um,0,0.304102889,0.100316014,,Basalt_ctrl
Sandstone_ctrl,<45um,3,-0.02616511,0.055308872,,Basalt_ctrl
Sandstone_ctrl,<45um,7,-0.055836477,0.014584298,,Basalt_ctrl
Sandstone_ctrl,<45um,12,-0.07751973,0.017519478,,Basalt_ctrl
Sandstone_ctrl,<45um,24,-0.064082467,0.092408734,,Basalt_ctrl
Sandstone_ctrl,<45um,48,-0.060249792,0.074287879,,Basalt_ctrl
Basalt_ctrl,<45um,0,0.460405028,0.276970935,,
Basalt_ctrl,<45um,3,-0.044205996,0.017224598,,
Basalt_ctrl,<45um,7,-0.032865931,0.021618246,,
Basalt_ctrl,<45um,12,0.015903856,0.100383291,,
Basalt_ctrl,<45um,24,-0.130033942,0.078643346,,
Basalt_ctrl,<45um,48,-0.17688795,0.039206937,,
Granite,<45um,0,4.067751906,4.260906706,,
Granite,<45um,3,182.5082404,21.8078929,,
Granite,<45um,7,333.3388506,69.30590209,,
Granite,<45um,12,348.8385079,23.66096766,,
Granite,<45um,24,269.4290876,29.86541924,,
Granite,<45um,48,201.3570695,56.69971189,,
Sandstone,<45um,0,0.204063394,0.220782988,,
Sandstone,<45um,3,38.26435419,1.070598668,,
Sandstone,<45um,7,202.6683938,25.37544733,,
Sandstone,<45um,12,227.6747859,28.13993839,,
Sandstone,<45um,24,191.8160042,16.19286262,,
Sandstone,<45um,48,156.6373962,42.90863708,,
Basalt,<45um,0,0.251926932,0.140755436,,
Basalt,<45um,3,25.8736469,18.81362063,,
Basalt,<45um,7,199.710571,25.47908846,,
Basalt,<45um,12,288.7090894,27.66120647,,
Basalt,<45um,24,205.440382,22.52278429,,
Basalt,<45um,48,230.087532,15.85416313,,
H2O,45-106um,0,0.120932852,0.076039996,,
H2O,45-106um,3,-0.008697298,0.001250248,,
H2O,45-106um,7,0.000756569,0.02122843,,
H2O,45-106um,12,-0.017739775,0.00745591,,
H2O,45-106um,24,-0.011259411,0.012544995,,
H2O,45-106um,48,0.017197008,0.068396328,,
Granite_ctrl,45-106um,0,0.591931155,0.093308028,,
Granite_ctrl,45-106um,3,0.001295274,0.108253562,,
Granite_ctrl,45-106um,7,-0.083804327,0.113616918,,
Granite_ctrl,45-106um,12,-0.051755521,0.053104036,,
Granite_ctrl,45-106um,24,-0.102925223,0.037485663,,
Granite_ctrl,45-106um,48,0.021263394,0.009919504,,
Sandstone_ctrl,45-106um,0,0.189382101,0.012955426,,
Sandstone_ctrl,45-106um,3,0.019197876,0.078916164,,
Sandstone_ctrl,45-106um,7,-0.005905113,0.055278629,,
Sandstone_ctrl,45-106um,12,0.035152027,0.084400248,,
Sandstone_ctrl,45-106um,24,0.006733724,0.062670451,,
Sandstone_ctrl,45-106um,48,0.088734364,0.008593804,,
Basalt_ctrl,45-106um,0,0.831406417,0.445997259,,
Basalt_ctrl,45-106um,3,-0.039610767,0.040704712,,
Basalt_ctrl,45-106um,7,-0.154532256,0.060017914,,
Basalt_ctrl,45-106um,12,-0.165672078,0.077320103,,
Basalt_ctrl,45-106um,24,-0.331352045,0.125033072,,
Basalt_ctrl,45-106um,48,-0.106207465,0.110937441,,
Granite,45-106um,0,0.474428446,0.012402482,,
Granite,45-106um,3,14.3022418,1.871346474,,
Granite,45-106um,7,9.488440704,1.787437274,,
Granite,45-106um,12,8.723513093,2.549703243,,
Granite,45-106um,24,6.914649285,0.356791322,,
Granite,45-106um,48,6.336001356,1.317521138,,
Sandstone,45-106um,0,0.25866094,0.069965337,,
Sandstone,45-106um,3,6.079263342,0.804210103,,
Sandstone,45-106um,7,4.989847244,0.787747872,,
Sandstone,45-106um,12,5.567733228,1.144361226,,
Sandstone,45-106um,24,4.989511476,0.210646224,,
Sandstone,45-106um,48,6.159903212,0.969653131,,
Basalt,45-106um,0,0.375788171,0.102381401,,
Basalt,45-106um,3,8.123983262,0.940627399,,
Basalt,45-106um,7,3.02055503,0.893846511,,
Basalt,45-106um,12,2.986628342,0.469552099,,
Basalt,45-106um,24,3.826916829,1.335637986,,
Basalt,45-106um,48,2.448275147,0.426344332,,
H2O,106-150um,0,0.314450631,0.063269723,,
H2O,106-150um,3,-0.068126096,0.029367566,,
H2O,106-150um,7,0.017906668,0.074790775,,
H2O,106-150um,12,-0.139854816,0.027287727,,
H2O,106-150um,24,-0.120415422,0.047959328,,
H2O,106-150um,48,-0.13431201,0.032635354,,
Granite_ctrl,106-150um,0,0.319235638,0.093735492,,
Granite_ctrl,106-150um,3,-0.054300153,0.098577129,,
Granite_ctrl,106-150um,7,0.010821453,0.235752773,,
Granite_ctrl,106-150um,12,-0.242160654,0.092190434,,
Granite_ctrl,106-150um,24,-0.193015369,0.091468402,,
Granite_ctrl,106-150um,48,-0.179217526,0.067926723,,
Sandstone_ctrl,106-150um,0,0.283103352,0.114783668,,
Sandstone_ctrl,106-150um,3,-0.009401934,0.04132629,,
Sandstone_ctrl,106-150um,7,0.035007277,0.105560735,,
Sandstone_ctrl,106-150um,12,-0.199224226,0.082770195,,
Sandstone_ctrl,106-150um,24,-0.126176335,0.086911559,,
Sandstone_ctrl,106-150um,48,-0.133810415,0.051515336,,
Basalt_ctrl,106-150um,0,0.301928144,0.028715046,,
Basalt_ctrl,106-150um,3,0.049163149,0.078598844,,
Basalt_ctrl,106-150um,7,-0.160466162,0.035788509,,
Basalt_ctrl,106-150um,12,-0.195530093,0.015105368,,
Basalt_ctrl,106-150um,24,-0.114683325,0.055874223,,
Basalt_ctrl,106-150um,48,-0.140140892,0.039205156,,
Granite,106-150um,0,0.404312178,0.036495492,,
Granite,106-150um,3,0.303194183,0.076984812,,
Granite,106-150um,7,0.257853854,0.041836818,,
Granite,106-150um,12,0.177244043,0.037460522,,
Granite,106-150um,24,0.187848215,0.022916438,,
Granite,106-150um,48,0.422253275,0.080212971,,
Sandstone,106-150um,0,0.444006615,0.117223539,,
Sandstone,106-150um,3,0.411513029,0.071869366,,
Sandstone,106-150um,7,0.117520896,0.040011481,,
Sandstone,106-150um,12,0.116287631,0.042746189,,
Sandstone,106-150um,24,0.062313651,0.005774765,,
Sandstone,106-150um,48,0.097023437,0.039446723,,
Basalt,106-150um,0,0.388432197,0.043436076,,
Basalt,106-150um,3,0.312832324,0.127549498,,
Basalt,106-150um,7,0.11906909,0.085485249,,
Basalt,106-150um,12,0.284961118,0.083991873,,
Basalt,106-150um,24,0.435795664,0.103399541,,
Basalt,106-150um,48,0.908440123,0.066240938,,
H2O,<45 sea,0,3.375939807,0.725551932,,
H2O,<45 sea,3,-0.261742914,0.258761506,,
H2O,<45 sea,7,-0.786159779,0.19534053,,
H2O,<45 sea,12,-0.962506388,0.274777051,,
H2O,<45 sea,24,-1.098712721,0.320035179,,
H2O,<45 sea,48,-1.247526049,0.33938576,,
Granite_ctrl,<45 sea,0,31.53065745,28.87126691,,
Granite_ctrl,<45 sea,3,-8.510093684,11.73917034,,
Granite_ctrl,<45 sea,7,-10.45950044,10.15519772,,
Granite_ctrl,<45 sea,12,-25.04755408,32.15000345,,
Granite_ctrl,<45 sea,24,-16.1399383,15.90691673,,
Granite_ctrl,<45 sea,48,-16.48043198,15.51281012,,
Basalt_ctrl,<45 sea,0,4.497020721,1.403698351,,
Basalt_ctrl,<45 sea,3,0.15283235,1.482122289,,
Basalt_ctrl,<45 sea,7,-0.496195511,0.760107968,,
Basalt_ctrl,<45 sea,12,-2.56391618,1.161883673,,
Basalt_ctrl,<45 sea,24,-1.06991386,0.435070103,,
Basalt_ctrl,<45 sea,48,-3.728825826,1.314510782,,
Granite,<45 sea,0,30.96091304,10.16660972,,
Granite,<45 sea,3,66.79011269,13.20196926,,
Granite,<45 sea,7,175.724877,34.82657191,,
Granite,<45 sea,12,279.2365815,51.00021182,,
Granite,<45 sea,24,269.2545968,89.03302032,,
Granite,<45 sea,48,237.9875495,80.90509203,,
Basalt,<45 sea,0,16.60314948,11.79095051,,
Basalt,<45 sea,3,-1.084661181,3.922978966,,
Basalt,<45 sea,7,6.916538065,6.798919726,,
Basalt,<45 sea,12,21.99953639,8.407080264,,
Basalt,<45 sea,24,39.94340387,9.518791905,,
Basalt,<45 sea,48,184.6779101,18.60336219,,
